Organisation,Country,maxRating,avgRating,numUsers
Neapolis University Paphos,Cyprus,2219,2219.0,1
University of Texas at Dallas,United States,2427,2427.0,1
Team Diamonds,Hong Kong,2219,2219.0,1
Tsinghua University,China,2287,2208.0,3
City University of Hong Kong,Hong Kong,2219,2181.0,3
VU Amsterdam,Romania,2371,2167.0,2
Club of idiots,Taiwan,2290,2290.0,1
retirement home,United States,2353,2353.0,1
Grodno city gimnasium,Belarus,2296,2296.0,1
Aalto University,Finland,2214,2214.0,1
Nazarbayev University,Kazakhstan,2228,1739.7142857142858,7
Shandong University,China,2312,1819.0,5
Guangdong Experimental High School,China,2212,2058.5,8
dyj fan club,China,2212,2182.75,4
Zibo Experimental High School,China,2239,2125.0,5
Swiss Olympiad in Informatics,Switzerland,2359,1953.6,5
INTEC,Dominican Republic,2473,2473.0,1
Sogang University,South Korea,2229,1989.4444444444443,9
Shanhe University,China,2227,2227.0,1
SOI,Syria,2269,1753.0,14
Meow meow kindergarten,Antarctica,2291,2146.0,2
Asadullo Ganiev Fan Club,Uzbekistan,2258,1994.2857142857142,7
B.01 Inc.,Syria,2207,2207.0,1
Princeton University,China,2399,2119.6666666666665,3
Kazan FU,Russia,2281,1989.0,3
Hwa Chong Institution,Singapore,2511,2098.0,6
Clash Of Clans #288LRYGYG,Palestinian Territory,2232,2214.3333333333335,3
Dalian No.24 High School,China,2232,1900.0,5
South China University of Technology,China,2289,1976.2666666666667,15
Cornell University,United States,2199,1885.5,2
SSN College Of Engineering,India,2197,2197.0,1
Jane Street,United Kingdom,2482,2482.0,1
Colégio Etapa,Brazil,2231,2231.0,1
timmyfeng fan-club,United States,2319,2319.0,1
Indian Institute of Technology Ropar,India,2195,1629.0384615384614,26
University of Toronto,Hong Kong,2285,2172.75,4
Chongqing NO.1 Middle School,China,2194,1983.0,3
BUET,Bangladesh,2300,1809.2,20
Kabatas Boy's High School,Turkey,2262,2262.0,1
Fan Club Peltorator,Germany,2200,2198.0,2
HRBUST,China,2302,2246.5,2
Changpei Middle School,China,2196,2054.6666666666665,3
Yandex,Russia,2384,2089.4,5
Constructor University,Russia,2190,1942.3333333333333,3
cf247,Antarctica,2217,2217.0,1
Olimpiada Informatica Española,Spain,2197,2081.0,2
Bot Secondary School,China,2190,2190.0,1
Zhengzhou University,China,2501,2229.0,4
IIT Guwahati,India,2225,1611.5285714285715,70
Pontificia Universidad Católica de Chile,Chile,2215,2193.0,2
God Luck,Belgium,2188,2188.0,1
Nanjing Normal University,China,2256,2256.0,1
IIT Kanpur,India,2400,1656.573033707865,89
Wuhu No.1 High School,China,2283,2204.0,2
EPAM Systems,Poland,2287,1997.0,2
University of Bologna,Italy,2304,2304.0,1
Georgia Institute of Technology,United States,2280,1751.0,4
aihay fanclub,Egypt,2185,2185.0,1
BWINF,Germany,2259,1897.5,2
University of Brasilia,Brazil,2398,1813.3,10
NUIST,China,2183,1822.5,2
keta_tsimakuridze FanClub,Georgia,2291,1989.0,4
kizen fanclub,South Korea,2181,2181.0,1
TJHSST,India,2181,2181.0,1
CCNU,China,2350,1898.0,10
IET Lucknow,India,2180,1606.741935483871,31
