name,type,value,date
ko_osaga,South Korea,0,2014/01/12
QuietBeautifulThoughts,China,0,2014/01/12
p_b_p_b,China,0,2014/01/12
PubabaOnO,China,0,2014/01/12
MyBotDear,Unknown,0,2014/01/12
Elegia,China,0,2014/01/12
QAQAutoMaton,China,0,2014/01/12
Isonan,China,0,2014/01/12
noimi,Japan,0,2014/01/12
244mhq,Belarus,0,2014/01/12
skip2004,China,0,2014/01/12
A_G,United States,0,2014/01/12
353cerega,Unknown,0,2014/01/12
Qingyu,Unknown,0,2014/01/12
conqueror_of_tourist,United States,0,2014/01/12
FastFreeTask,Unknown,0,2014/01/12
MagicalFlower,China,0,2014/01/12
Kevin114514,China,0,2014/01/12
MagicSpark,Antarctica,0,2014/01/12
HaitangSuki,China,0,2014/01/12
hitonanode,Japan,0,2014/01/12
huzhaoyang,Unknown,0,2014/01/12
duality,Canada,0,2014/01/12
TLE,China,0,2014/01/12
Maksim1744,Russia,0,2014/01/12
aaaaawa,China,0,2014/01/12
sjcsjcsjc,China,0,2014/01/12
turmax,Russia,0,2014/01/12
Kubic,China,0,2014/01/12
cmll02,China,0,2014/01/12
Pub,China,0,2014/01/12
gisp_zjz,China,0,2014/01/12
Alex_Wei,China,0,2014/01/12
dorijanlendvaj,Croatia,0,2014/01/12
Crystally,Unknown,0,2014/01/12
isaf27,Russia,0,2014/01/12
AmazingTalker_Frank,Germany,0,2014/01/12
tute7627,Japan,0,2014/01/12
BigYellowDuck,China,0,2014/01/12
TLEwpdus,South Korea,0,2014/01/12
heno239,Japan,0,2014/01/12
arvindf232,Hong Kong,0,2014/01/12
Chtholly-Nota-Seniorious,Unknown,0,2014/01/12
AlternatingCurrent,Antarctica,0,2014/01/12
YamadaRyo,Japan,0,2014/01/12
antontrygubO_o,Ukraine,0,2014/01/12
PinkieRabbit,China,0,2014/01/12
dXqwq,China,0,2014/01/12
SSRS_,Japan,0,2014/01/12
peti1234,Hungary,0,2014/01/12
qiuzx,Antarctica,0,2014/01/12
tzc_wk,China,0,2014/01/12
ttklwxx,China,0,2014/01/12
StarSilk,Unknown,0,2014/01/12
A.K.E.E.,China,0,2014/01/12
never_giveup,Russia,0,2014/01/12
kotatsugame,Japan,0,2014/01/12
fengqiyuka,China,0,2014/01/12
hank55663,Taiwan,0,2014/01/12
PCTprobability,Japan,0,2014/01/12
Flamire,Unknown,0,2014/01/12
alireza_kaviani,Iran,0,2014/01/12
Forested,Japan,0,2014/01/12
Szoboszlai10,Hungary,0,2014/01/12
Melusine,China,0,2014/01/12
E869120,Japan,0,2014/01/12
crazy_sea,China,0,2014/01/12
Kuroni,Vietnam,0,2014/01/12
-Eternity-,Unknown,0,2014/01/12
The_Noble_Brahman_Bison,China,0,2014/01/12
Kapt,Russia,0,2014/01/12
tourist,Belarus,3141,2014/02/03
Petr,Switzerland,2764,2014/02/03
Egor,Germany,2736,2014/02/03
hos.lyric,Japan,2468,2014/02/03
ecnerwala,United States,2382,2014/02/03
Swistakk,Poland,2304,2014/02/03
jqdai0815,Samoa,2242,2014/02/03
snuke,Japan,2240,2014/02/03
Um_nik,Ukraine,2092,2014/02/03
ksun48,Canada,2014,2014/02/03
yosupo,Japan,1950,2014/02/03
molamola.,South Korea,1913,2014/02/03
Golovanov399,Russia,1808,2014/02/03
jiangly,China,0,2014/02/03
Benq,United States,0,2014/02/03
orzdevinwang,China,0,2014/02/03
cnnfls_csy,China,0,2014/02/03
Radewoosh,Poland,0,2014/02/03
gyh20,China,0,2014/02/03
Rebelz,China,0,2014/02/03
Geothermal,United States,0,2014/02/03
gamegame,Hong Kong,0,2014/02/03
fivedemands,Hong Kong,0,2014/02/03
maroonrk,Japan,0,2014/02/03
ugly2333,China,0,2014/02/03
Ormlis,Russia,0,2014/02/03
maspy,Japan,0,2014/02/03
VivaciousAubergine,China,0,2014/02/03
potato167,Japan,0,2014/02/03
ko_osaga,South Korea,0,2014/02/03
QuietBeautifulThoughts,China,0,2014/02/03
p_b_p_b,China,0,2014/02/03
PubabaOnO,China,0,2014/02/03
MyBotDear,Unknown,0,2014/02/03
Elegia,China,0,2014/02/03
QAQAutoMaton,China,0,2014/02/03
Isonan,China,0,2014/02/03
noimi,Japan,0,2014/02/03
244mhq,Belarus,0,2014/02/03
skip2004,China,0,2014/02/03
A_G,United States,0,2014/02/03
353cerega,Unknown,0,2014/02/03
Qingyu,Unknown,0,2014/02/03
conqueror_of_tourist,United States,0,2014/02/03
FastFreeTask,Unknown,0,2014/02/03
MagicalFlower,China,0,2014/02/03
Kevin114514,China,0,2014/02/03
MagicSpark,Antarctica,0,2014/02/03
HaitangSuki,China,0,2014/02/03
hitonanode,Japan,0,2014/02/03
huzhaoyang,Unknown,0,2014/02/03
duality,Canada,0,2014/02/03
TLE,China,0,2014/02/03
Maksim1744,Russia,0,2014/02/03
aaaaawa,China,0,2014/02/03
sjcsjcsjc,China,0,2014/02/03
turmax,Russia,0,2014/02/03
Kubic,China,0,2014/02/03
cmll02,China,0,2014/02/03
Pub,China,0,2014/02/03
gisp_zjz,China,0,2014/02/03
Alex_Wei,China,0,2014/02/03
dorijanlendvaj,Croatia,0,2014/02/03
Crystally,Unknown,0,2014/02/03
isaf27,Russia,0,2014/02/03
AmazingTalker_Frank,Germany,0,2014/02/03
tute7627,Japan,0,2014/02/03
BigYellowDuck,China,0,2014/02/03
TLEwpdus,South Korea,0,2014/02/03
heno239,Japan,0,2014/02/03
arvindf232,Hong Kong,0,2014/02/03
Chtholly-Nota-Seniorious,Unknown,0,2014/02/03
AlternatingCurrent,Antarctica,0,2014/02/03
YamadaRyo,Japan,0,2014/02/03
antontrygubO_o,Ukraine,0,2014/02/03
PinkieRabbit,China,0,2014/02/03
dXqwq,China,0,2014/02/03
SSRS_,Japan,0,2014/02/03
peti1234,Hungary,0,2014/02/03
qiuzx,Antarctica,0,2014/02/03
tzc_wk,China,0,2014/02/03
ttklwxx,China,0,2014/02/03
StarSilk,Unknown,0,2014/02/03
A.K.E.E.,China,0,2014/02/03
never_giveup,Russia,0,2014/02/03
kotatsugame,Japan,0,2014/02/03
fengqiyuka,China,0,2014/02/03
hank55663,Taiwan,0,2014/02/03
PCTprobability,Japan,0,2014/02/03
Flamire,Unknown,0,2014/02/03
alireza_kaviani,Iran,0,2014/02/03
Forested,Japan,0,2014/02/03
Szoboszlai10,Hungary,0,2014/02/03
Melusine,China,0,2014/02/03
E869120,Japan,0,2014/02/03
crazy_sea,China,0,2014/02/03
Kuroni,Vietnam,0,2014/02/03
-Eternity-,Unknown,0,2014/02/03
The_Noble_Brahman_Bison,China,0,2014/02/03
Kapt,Russia,0,2014/02/03
tourist,Belarus,3141,2014/03/16
Petr,Switzerland,2687,2014/03/16
Egor,Germany,2668,2014/03/16
hos.lyric,Japan,2468,2014/03/16
ecnerwala,United States,2398,2014/03/16
Swistakk,Poland,2343,2014/03/16
snuke,Japan,2341,2014/03/16
jqdai0815,Samoa,2242,2014/03/16
Um_nik,Ukraine,2092,2014/03/16
ksun48,Canada,2014,2014/03/16
molamola.,South Korea,2014,2014/03/16
yosupo,Japan,1858,2014/03/16
